etternavn;personer_2020
Brevik;1690
Bringedal;261
Brobakken;282
Broch;228
Brodahl;278
Brodersen;200
Broen;300
Brovold;569
Brown;407
Brox;462
Bru;547
Bruaset;214
Brubakken;213
Brudevoll;216
Brudvik;220
Bruheim;263
Bruland;656
Brun;1009
Brunborg;255
Brunes;305
Brunstad;372
Brunvoll;281
Brustad;805
Bruun;1007
Bruvik;594
Bruvoll;304
Bryhn;382
Bryn;478
Bryne;297
Brynildsen;573
Brynjulfsen;307
Brække;224
Brækken;217
Brænd;208
Brænden;244
Brøndbo;331
Brønstad;313
Bråten;2842
Bråthen;3300
Bu;272
Buan;253
Bue;374
Buene;258
Buer;742
Bugge;1381
Bugten;233
Bui;482
Buljo;316
Bull;731
Bunes;412
Buraas;209
Burud;207
Busch;417
Busk;201
Butt;839
Buvarp;212
Buvik;328
By;469
Byberg;824
Bye;2435
Byrkjeland;303
Bystrøm;203
Bækken;311
Bærheim;238
Bævre;365
Bø;2472
Bødtker;.
Bøe;4219
Bøen;473
Bøhler;354
Bøhmer;205
Bøhn;670
Børnes;.
Børresen;1833
Børseth;325
Børsheim;229
Børstad;288
Børve;444
Bøthun;262
Bøyum;346
Bårdsen;932
Cao;200
Cappelen;253
Carlsen;2788
Carlson;259
Carlsson;468
Caspersen;453
Celik;200
Celius;258
Chan;244
Chaudhry;386
Chen;574
Christensen;6207
Christiansen;3716
Christoffersen;1350
Christophersen;441
Clausen;1181
Claussen;337
Corneliussen;791
Daae;386
Dagestad;309
Dagsland;306
Dahir;394
Dahl;11373
Dahlberg;689
Dahle;3278
Dahlen;1212
Dahlgren;227
Dahlstrøm;401
Dalaker;206
Dalby;383
Dale;3348
Dalen;2448
Dalene;342
Daleng;207
Dalhaug;287
Dalheim;472
Dalland;464
Dalsbø;215
Dalseth;216
Dammen;586
Dang;461
Danielsen;5443
Dar;209
David;.
Davidsen;1839
Dehli;301
Demir;227
Derås;213
Devik;263
Devold;272
Didriksen;1075
Diesen;221
Digernes;359
Digre;265
Dimmen;391
Dinh;239
Dirdal;373
Ditlefsen;375
Djupvik;493
Djuve;217
Djønne;248
Do;374
Doan;267
Dokken;726
Drabløs;314
Drage;337
Drageset;218
Dragland;238
Dramstad;204
Drange;683
Drevland;217
Dreyer;541
Drivenes;286
Drønen;314
Due;302
Duong;328
Dvergsdal;295
Dyb;387
Dybdahl;489
Dybdal;285
Dybvik;951
Dybwad;232
Dyngeland;317
Dyrdal;331
Dyrhaug;263
Dyrkorn;222
Dyrnes;526
Dyrseth;279
Dyrstad;361
Dyrøy;270
Dørum;484
Ebbesen;339
Eckhoff;328
Edland;520
Edvardsen;4785
Edvartsen;217
Eeg;217
Eek;465
Ege;383
Egeberg;453
Egeland;2528
Egeli;319
Egenes;206
Eggan;235
Egge;787
Eggen;1832
Eggum;316
Eid;618
Eide;8435
Eidem;1070
Eidet;282
Eidissen;467
Eidsheim;200
Eidsvik;289
Eidsvåg;225
Eie;639
Eik;926
Eike;427
Eikeland;2243
Eikemo;440
Eiken;493
Eikenes;477
Eikrem;861
Eikås;329
Eilertsen;3222
Einan;225
Einarsen;937
Einvik;235
Eira;635
Ek;603
Ekeberg;787
Ekeland;418
Ekeli;248
Ekelund;262
Ekerhovd;318
Ekker;216
Eklund;429
Eknes;375
Ekre;274
Ekrem;314
Ekren;434
Ekroll;288
Ekstrøm;237
Elde;386
Elden;255
Eldevik;234
Eliassen;4274
Ellefsen;1832
Ellingsen;4866
Elmi;476
Elnes;229
Elstad;606
Elton;207
Eltvik;225
Elvebakk;309
Elvenes;249
Elverum;373
Elvestad;505
Elvik;213
Emanuelsen;238
Emberland;242
Emblem;263
Emilsen;493
Endal;283
Endresen;1537
Enersen;373
Enes;213
Eng;917
Engan;908
Engdal;357
Enge;636
Engebakken;411
Engebretsen;2727
Engedal;381
Engeland;278
Engelsen;605
Engelstad;575
Engen;3758
Engenes;228
Enger;2172
Engeset;412
Engeseth;331
Engevik;359
Engh;1148
Englund;236
Engseth;206
Engstad;219
Engstrøm;400
Engum;327
Engvik;296
Enoksen;1069
Ensrud;232
Erdal;739
Erga;497
Erichsen;896
Eriksen;18741
Eriksrud;248
Eriksson;1396
Erikstad;425
Erland;423
Erlandsen;1338
Ernstsen;259
Ersland;396
Erstad;743
Ertsås;213
Ervik;1225
Eskedal;230
Eskeland;472
Espe;423
Espedal;863
Espeland;1690
Espelid;325
Espenes;332
Espeseth;421
Estensen;229
Evanger;236
Evenrud;217
Evensen;5900
Evenstad;281
